id;code;okved;version;ismain
2b306812-36cb-4707-9518-606a9272b7f7;47.99.2;Деятельность по осуществлению торговли через автоматы;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;63.12;Деятельность web-порталов;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;62.03.1;Деятельность по управлению компьютерными системами;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.78.5;Деятельность коммерческих художественных галерей, торговля розничная произведениями искусства в коммерческих художественных галереях;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;46.36;Торговля оптовая сахаром, шоколадом и сахаристыми кондитерскими изделиями;2014;0
48f49ade-c662-4501-990d-b5f337269fac;43.99.2;Работы по установке строительных лесов и подмостей;2014;0
48f49ade-c662-4501-990d-b5f337269fac;46.73;Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием;2014;0
48f49ade-c662-4501-990d-b5f337269fac;43.99.3;Работы свайные и работы по строительству фундаментов;2014;0
8c52322b-aa18-4211-ba23-71cac42bd917;62.02;Деятельность консультативная и работы в области компьютерных технологий;2014;0
b93151d1-016d-4652-953b-2992ae81d3c5;43.12;Подготовка строительной площадки;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;41.2;Строительство жилых и нежилых зданий;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;43.29;Производство прочих строительно-монтажных работ;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;68.2;Аренда и управление собственным или арендованным недвижимым имуществом;2014;0
6e5aba38-7057-4bbd-b728-d7b8d1a50bc5;49.41;Деятельность автомобильного грузового транспорта;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;49.41;Деятельность автомобильного грузового транспорта;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;81.1;Деятельность по комплексному обслуживанию помещений;2014;0
80515e72-99fa-49c1-8d15-6961062a3385;47.9;Торговля розничная вне магазинов, палаток, рынков;2014;0
5fe3a8b9-3aad-4dfa-8103-f89643cc5592;47.77.2;Торговля розничная ювелирными изделиями в специализированных магазинах;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;82.92;Деятельность по упаковыванию товаров;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;47.5;Торговля розничная прочими бытовыми изделиями в специализированных магазинах;2014;0
8061eeca-f131-42c3-8d8d-8de311a5c71f;47.52;Торговля розничная скобяными изделиями, лакокрасочными материалами и стеклом в специализированных магазинах;2014;1
a1906b11-61c2-473b-9c9b-bcd5ada01bad;47.11.2;Торговля розничная незамороженными продуктами, включая напитки и табачные изделия, в неспециализированных магазинах;2014;0
a1906b11-61c2-473b-9c9b-bcd5ada01bad;47.19;Торговля розничная прочая в неспециализированных магазинах;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;47.42;Торговля розничная телекоммуникационным оборудованием, включая розничную торговлю мобильными телефонами, в специализированных магазинах;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;95.11;Ремонт компьютеров и периферийного компьютерного оборудования;2014;0
31613dfb-e51d-4098-94f0-2dd639c96a9f;95.29.1;Ремонт одежды и текстильных изделий;2014;1
100c920f-1c33-4bfa-88e1-50fca90c4037;10.71;Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.73.3;Производство консервированных или замороженных макаронных изделий;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;47.24.3;Торговля розничная мороженым и замороженными десертами в специализированных магазинах;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;43.99.9;Работы строительные специализированные, не включенные в другие группировки;2014;0
7bc0af6b-3306-41fc-a9cd-0c47e3a51e8b;47.71;Торговля розничная одеждой в специализированных магазинах;2014;1
3da2a4fa-b17a-4661-883c-363cce5f2206;45.32.2;Торговля розничная автомобильными деталями, узлами и принадлежностями прочая;2014;0
3da2a4fa-b17a-4661-883c-363cce5f2206;56.10.2;Деятельность по приготовлению и/или продаже пищи, готовой к непосредственному употреблению на месте, с транспортных средств или передвижных лавок;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;47.7;Торговля розничная прочими товарами в специализированных магазинах;2014;0
892e6d8e-d508-46ec-97f2-ed2cd3829b24;82.92;Деятельность по упаковыванию товаров;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.91.2;Торговля розничная, осуществляемая непосредственно при помощи информационно-коммуникационной сети Интернет;2014;1
2b306812-36cb-4707-9518-606a9272b7f7;59.14;Деятельность в области демонстрации кинофильмов;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.59.4;Торговля розничная изделиями из дерева, пробки и плетеными изделиями в специализированных магазинах;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;79.90.3;Деятельность по предоставлению туристических услуг, связанных с бронированием;2014;0
2b306812-36cb-4707-9518-606a9272b7f7;47.81;Торговля розничная в нестационарных торговых объектах и на рынках пищевыми продуктами, напитками и табачной продукцией;2014;0
48f49ade-c662-4501-990d-b5f337269fac;25.99.29;Производство прочих изделий из недрагоценных металлов, не включенных в другие группировки;2014;0
8c52322b-aa18-4211-ba23-71cac42bd917;74.2;Деятельность в области фотографии;2014;0
b93151d1-016d-4652-953b-2992ae81d3c5;43.32;Работы столярные и плотничные;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;42.11;Строительство автомобильных дорог и автомагистралей;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;43.33;Работы по устройству покрытий полов и облицовке стен;2014;0
44b1da46-496c-49e9-a044-cf00a5b08d3d;46.73;Торговля оптовая лесоматериалами, строительными материалами и санитарно-техническим оборудованием;2014;0
6e5aba38-7057-4bbd-b728-d7b8d1a50bc5;47.24;Торговля розничная хлебом и хлебобулочными изделиями и кондитерскими изделиями в специализированных магазинах;2014;0
f2e8ee90-44b5-41b2-946b-34e74c1481a9;43.33;Работы по устройству покрытий полов и облицовке стен;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;43.12;Подготовка строительной площадки;2014;0
9d2e96c1-6119-4621-97d5-b8729bc30a24;78.1;Деятельность агентств по подбору персонала;2014;0
80515e72-99fa-49c1-8d15-6961062a3385;68.20.2;Аренда и управление собственным или арендованным нежилым недвижимым имуществом;2014;0
5fe3a8b9-3aad-4dfa-8103-f89643cc5592;47.99;Торговля розничная прочая вне магазинов, палаток, рынков;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;47.9;Торговля розничная вне магазинов, палаток, рынков;2014;0
bd28c629-b50c-493a-8da3-06d2400b8d2d;47.71.2;Торговля розничная нательным бельем в специализированных магазинах;2014;0
a1906b11-61c2-473b-9c9b-bcd5ada01bad;46.35;Торговля оптовая табачными изделиями;2014;0
a1906b11-61c2-473b-9c9b-bcd5ada01bad;47.91.1;Торговля розничная по почте;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;47.41.3;Торговля розничная периферийными устройствами в специализированных магазинах;2014;0
5947e1a1-5dbe-42e4-a326-7f352f1c26b9;95.29.9;Ремонт прочих бытовых изделий и предметов личного пользования, не вошедших в другие группировки;2014;0
100c920f-1c33-4bfa-88e1-50fca90c4037;10.71.1;Производство хлеба и хлебобулочных изделий недлительного хранения;2014;0
